Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
8807194	Energy Efficiency Based Joint Computation Offloading and Resource Allocation in Multi-Access MEC Systems	2019	https://ieeexplore.ieee.org/document/8807194	Não	Simulação	Não	Não Detalha	Não Detalha	Não	10-60 mobile devices	MEC	Energia
9029056	D2D-Assisted Computation Offloading for Mobile Edge Computing Systems with Energy Harvesting	2019	https://ieeexplore.ieee.org/document/9029056	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	Híbrido	Energia
8468240	Asynchronous Mobile-Edge Computation Offloading: Energy-Efficient Resource Management	2018	https://ieeexplore.ieee.org/document/8468240	Não	Simulação	Não	MATLAB	Math	Não	a computer equipped with Intel Core i5-4570, 3.20GHz processor and 8GB RAM memory	MEC	Energia
8364042	Formal definition of edge computing: An emphasis on mobile cloud and IoT composition	2018	https://ieeexplore.ieee.org/document/8364042	Sim (Não Realizou Experimentos)	-	-	-	-	-	-	-	-
8695319	Game Theoretical Multi-user Computation Offloading for Mobile-Edge Cloud Computing	2019	https://ieeexplore.ieee.org/document/8695319	Sim (Short Paper)	-	-	-	-	-	-	-	-
8459971	Load Profiling and Migration for Effective Cyber Foraging in Disaster Scenarios with FORMICA	2018		Sim	-	-	-	-	-	-	-	-
8607120	Cooperative Task Offloading in Three-Tier Mobile Computing Networks: An ADMM Framework	2019	https://ieeexplore.ieee.org/document/8607120	Não	Simulação	Não	Não Detalha	Math	Não	40 Mobile Devices e 4 Base Stations on a laptop with Intel Core i7-7500U 2.7 GHz processor and 16 GB RAM	Híbrido	Tempo
8441740	A Survey of Mobile Computation Offloading: Applications, Approaches and Challenges	2018		Sim	-	-	-	-	-	-	-	-
7933157	Mobile cloud computing with a UAV-mounted cloudlet: optimal bit allocation for communication and computation	2017	https://ieeexplore.ieee.org/document/7933157	Não	Simulação	Não	Não Detalha	ImageTools	Não	Não Detalha	Híbrido	Energia
9013115	Dynamic Task Offloading in Multi-Agent Mobile Edge Computing Networks	2019	https://ieeexplore.ieee.org/document/9013115	Não	Simulação	Não	Não Detalha	Não Detalha	Não	12 Mobile Devices, 6 Edge Devices	MEC	Energia
7979974	Cachier: Edge-Caching for Recognition Applications	2017		Sim	-	-	-	-	-	-	-	-
8712928	Carry-on State Service Handover between Edge Hosts for Latency Strict Applications in Mobile Networks	2018		Sim	-	-	-	-	-	-	-	-
8362265	Joint heterogeneous statistical-QoS/QoE provisionings for edge-computing based WiFi offloading over 5G mobile wireless networks	2018		Sim	-	-	-	-	-	-	-	-
7636777	Stochastic computation offloading game for mobile cloud computing	2016	https://ieeexplore.ieee.org/document/7636777	Não	Simulação	Não	Não Detalha	Math	Não	Não Detalha	MCC	Custo Coputacional
8352664	Energy-Efficient Dynamic Computation Offloading and Cooperative Task Scheduling in Mobile Cloud Computing	2019	https://ieeexplore.ieee.org/document/8352664	Não	Aferição	Não	Visual Studio 2010 C++ com OpenCV	ImageTools	Sim. Real.	5 smartphones Android-based and the cloud server consists of H3C FlexServer R390 and Dell Power Edge M910,  the wireless router of TP-LINK TL-WDR5620 as the APs, Lenovo Thinkpad T430s	MCC	Energia, Tempo
8692421	Partial Offloading Scheduling and Power Allocation for Mobile Edge Computing Systems	2019	https://ieeexplore.ieee.org/document/8692421	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	MEC	Delay, Energia
7860163	A hybrid framework using Markov decision process for mobile code offloading	2016	https://ieeexplore.ieee.org/document/7860163	Sim (Short Paper)	-	-	-	-	-	-	-	-
6898822	Run Time Application Repartitioning in Dynamic Mobile Cloud Environments	2016	https://ieeexplore.ieee.org/document/6898822	Sim (Não Realizou Experimentos)	-	-	-	-	-	-	-	-
8445888	Minimum Energy Resource Allocation in FOG Radio Access Network with Fronthaul and Latency Constraints	2018		Sim	-	-	-	-	-	-	-	-
8000266	Mobile data offloading in FiWi enhanced LTE-A heterogeneous networks	2017	https://ieeexplore.ieee.org/document/8000266	Não	Simulação	Não	Não Detalha	Math	Não	one Macro Base Sstation, four Pico Base Stations, six Femto Base Stations, and 50 UEs (não achei oq essa sigla quer dizer)	MCC	Energia
9007391	A Probability Preferred Priori Offloading Mechanism in Mobile Edge Computing	2020	https://ieeexplore.ieee.org/document/9007391	Não	Simulação	Não	Não Detalha	Math	Não	a windows operating system that contains CPU with dual-core, eight gigabytes (GB) of memory and one terabyte of second storage memory	MEC	average utility, Energia, total delay 
