Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
Wang2018450	A Computation Offloading Strategy in Satellite Terrestrial Networks with Double Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065047384&doi=10.1109%2fICCS.2018.8689224&partnerID=40&md5=24513282b98a1e188b72d85e7731281b	não								
Zhang2018720	Energy-Aware Task Offloading for Ultra-Dense Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063536955&doi=10.1109%2fCybermatics_2018.2018.00144&partnerID=40&md5=19aeaa961321a17ca55be5deaefa1fcb	não								
Liu20184660	Prediction-based mobile data offloading in mobile cloud computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046339434&doi=10.1109%2fTWC.2018.2829513&partnerID=40&md5=f201629ed7c6acdef8e527ec628a49c0	não								
Yang20186398	Mobile edge computing empowered energy efficient task offloading in 5G	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041389316&doi=10.1109%2fTVT.2018.2799620&partnerID=40&md5=09026f1d906353ee3cb117500f560761	não	simulação							
Quan2018	A novel two-layered reinforcement learning for task offloading with tradeoffbetween physical machine utilization rate and delay	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050450519&doi=10.3390%2ffi10070060&partnerID=40&md5=ae43c662b2474ecfd2c83957b51a68bd	não	simulação							
Zhou20181	Deadline-aware peer-to-peer task offloading in stochastic mobile cloud computing systems	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050232415&doi=10.1109%2fSAHCN.2018.8397142&partnerID=40&md5=e591c45566cb0a0ae005bf9d34832151	não								
Al-Mousa20181	Intelligent offloading of reports processing in aging mobile devices	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050229722&doi=10.1109%2fUIC-ATC.2017.8397652&partnerID=40&md5=f998f05be8da45844e563827dae0b3e6	sim (aparentemente, sem avaliações)								
Aldmour20181	MECCA offloading cloud model over wireless interfaces for optimal power reduction and processing time	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050201745&doi=10.1109%2fUIC-ATC.2017.8397639&partnerID=40&md5=c5ba6afa109aee3b1153932220144d0a	não								
Li201836105	Distributed power control for interference-aware multi-user mobile edge computing: A game theory approach	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048888264&doi=10.1109%2fACCESS.2018.2849207&partnerID=40&md5=ca81e23fa69a98b78fee84d53ab6d0e2	não								
Ma2018	Energy-aware computation offloading of IoT sensors in cloudlet-based mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048727239&doi=10.3390%2fs18061945&partnerID=40&md5=6db082083f89bba26381241ab003b8c6	não								
Wu20194201	Secrecy-based delay-aware computation offloading via mobile edge computing for internet of things	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054702031&doi=10.1109%2fJIOT.2018.2875241&partnerID=40&md5=38544e2b980053875539e55c1abac6d0	não								
Ding20196207	Joint Power and Time Allocation for NOMA-MEC Offloading	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067796666&doi=10.1109%2fTVT.2019.2907253&partnerID=40&md5=1ac52386527b3d72c6d09ff8ff1c3391	não								
Wang20194295	Cooperative edge computing with sleep control under nonuniform traffic in mobile edge networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055042336&doi=10.1109%2fJIOT.2018.2875939&partnerID=40&md5=927c636e2858503a03161f9ebed0edb9	não								
Wu2019392	Delay-Minimization Nonorthogonal Multiple Access Enabled Multi-User Mobile Edge Computation Offloading	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066829242&doi=10.1109%2fJSTSP.2019.2893057&partnerID=40&md5=d1fa23b7ce610f5d0e8432fbf5f56753	não								
Min20194307	Learning-based privacy-aware offloading for healthcare IoT with energy harvesting	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055042269&doi=10.1109%2fJIOT.2018.2875926&partnerID=40&md5=9cd4f231c3cc3d21140fe01a7fb2f8db	não								
Bai20196074	Energy-efficient computation offloading for secure uav-edge-computing systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067922478&doi=10.1109%2fTVT.2019.2912227&partnerID=40&md5=5543da97e468b5d1e2740325a375cc55	sim, sem especificação de uma app prática								
Xiao2019430	Cooperative data sharing for mobile cloudlets under heterogeneous environments	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071041727&doi=10.1109%2fTNSM.2019.2907526&partnerID=40&md5=c3d58761ebbc1823e9cdb93d77479fd4	sim, simulação baseado em valores sintetizados. sem aplicação específica								
Zhang20194035	Distributed energy management for multiuser mobile-edge computing systems with energy harvesting devices and QoS constraints	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055018187&doi=10.1109%2fJIOT.2018.2875909&partnerID=40&md5=ef0732a2bb3be9d66fa5d63c32eeb7e2	sim, segue a met. trabalhos de otimização								
Cao20194188	Joint computation and communication cooperation for energy-efficient mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054612353&doi=10.1109%2fJIOT.2018.2875246&partnerID=40&md5=7749fa777e7be8c5a63df6dd42abeb3c	sim, segue a met. trabalhos de otimização								
Han20195674	Energy efficient secure computation offloading in NOMA-Based mMTC networks for IoT	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067894271&doi=10.1109%2fJIOT.2019.2904741&partnerID=40&md5=8d41d24b0f6447f2f4f9ee214f4150b7	sim, segue a met. trabalhos de otimização								
Vladyko2019	Distributed edge computing to assist ultra-low-latency VANET applications	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067471750&doi=10.3390%2ffi11060128&partnerID=40&md5=e82670db07d1704f9e8059c2244516a0									
Cui20194791	Joint optimization of energy consumption and latency in mobile edge computing for internet of things	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053118842&doi=10.1109%2fJIOT.2018.2869226&partnerID=40&md5=be39edd9252408775df04b2a16f4ae2d	sim, segue a met. trabalhos de otimização								
Wei20194436	Dynamic edge computation offloading for internet of things with energy harvesting: A learning method	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057168631&doi=10.1109%2fJIOT.2018.2882783&partnerID=40&md5=f101c919f11a231c3f68ef4d5b2e0cff	sim, segue a met. trabalhos de otimização								
Xu20194536	Game theoretical secure caching scheme in multihoming edge computing-enabled heterogeneous networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055025836&doi=10.1109%2fJIOT.2018.2876417&partnerID=40&md5=4e8a09f4008619033366271c039936c1	sim, sem uma aplicação prática								
Meng2019	Delay-sensitive Task Scheduling with Deep Reinforcement Learning in Mobile-edge Computing Systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067682260&doi=10.1088%2f1742-6596%2f1229%2f1%2f012059&partnerID=40&md5=5e88716036454e2a0e083c30b56c5f33	sim, segue a met. trabalhos de otimização								
Li2019	Cooperative offloading of tasks with deadlines in mobile cloud computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072838994&doi=10.1145%2f3321408.3323086&partnerID=40&md5=17c40669854698d4c68b9c57d5be1147	sim, sem aplicação prática e foco em otimização								
Li2019	Popularity-prediction-driven hierarchical caching in fog-cloud based radio access networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072843775&doi=10.1145%2f3321408.3323085&partnerID=40&md5=6a6dc92d8b56daae64c5173983913fe9									
Huang2019357	The mobile edge computing (mec)-based vanet data offloading using the staying-Time-oriented k-hop away offloading agent	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066754078&doi=10.1109%2fICOIN.2019.8718188&partnerID=40&md5=693688d1e02d33a97d1314784141ff13	não	simulação	não	não informa	Xender (compartilhamento de arquivos)	Não informado	apenas máquinas virtuais (5 ao total)	Híbrido	tempo
Qu2019	Computation offloading for mobile edge computing with accuracy guarantee	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072837650&doi=10.1145%2f3321408.3321582&partnerID=40&md5=58e5cb66f6a303923b5f90571f99408a	Sim. Artigo sobre otimização								
Dab201945	Q-learning algorithm for joint computation offloading and resource allocation in edge cloud	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067012434&partnerID=40&md5=da1e25b72640a56bdd64bace252e14df	Sim. Artigo sobre otimização								
Yu2019689	Collaborative computation offloading for multi-access edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066999664&partnerID=40&md5=8d07ae2c6b609e1d1c721792fb02c9e6	Sim. Não consegui baixar o arquivo.								
Banez2019	A Mean-Field-Type Game Approach to Computation Offloading in Mobile Edge Computing Networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070224290&doi=10.1109%2fICC.2019.8761282&partnerID=40&md5=b913160197bb3531f405993442619e78	Sim. Artigo sobre otimização								
Zhu2019	Computation offloading for workflow in mobile edge computing based on deep Q-learning	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070361036&doi=10.1109%2fWOCC.2019.8770689&partnerID=40&md5=2c9f9538ad0bc1a573d51906526c9378	Sim. Artigo sobre otimização								
Alelaiwi201958	An efficient method of computation offloading in an edge cloud platform	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060913057&doi=10.1016%2fj.jpdc.2019.01.003&partnerID=40&md5=4c72b37348214b1f235636e40c4d510d	não	simulação	não	MATLAB	nenhuma específica	não	2 fog-nodes e 1 cloud-node	híbrido	tempo
Almughalles2019	Task execution latency minimization-based joint computation offloading and cell selection for MEC-Enabled HetNets	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070365248&doi=10.1109%2fWOCC.2019.8770582&partnerID=40&md5=9a063698609aeed1389d076fbd344664									
Ren20195031	Collaborative Cloud and Edge Computing for Latency Minimization	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066627431&doi=10.1109%2fTVT.2019.2904244&partnerID=40&md5=b8707c0680c47a42b5f8779b8f7f8540									
Wiener2019	Towards context-aware and dynamic management of stream processing pipelines for fog computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068356324&doi=10.1109%2fCFEC.2019.8733145&partnerID=40&md5=c73cb3b02a30c864fe8c63d16a433273									
Seng2019	A D2D-Assisted MEC Computation Offloading in the Blockchain-Based Framework for UDNs	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070201835&doi=10.1109%2fICC.2019.8762023&partnerID=40&md5=bca95667dfea3032640f769442f99816									
Wang2019160	Edge server placement in mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049827230&doi=10.1016%2fj.jpdc.2018.06.008&partnerID=40&md5=671c9ad77247216af11ecec0ba9c7c01									
Xu201975	An energy-aware computation offloading method for smart edge computing in wireless metropolitan area networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061799417&doi=10.1016%2fj.jnca.2019.02.008&partnerID=40&md5=79dc6f55092489ba0a30e9381c916a96									
Hao2019	Energy-Efficient Multi-User Mobile-Edge Computation Offloading in Massive MIMO Enabled HetNets	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070223122&doi=10.1109%2fICC.2019.8761356&partnerID=40&md5=887c21cf333f15d81dd65a457be1b1fe									
